Species,Mo_since_burn_grouped,Count
Bombus pensylvanicus,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes tepaneca,0 to 5,1
Lasioglossum sp.,0 to 5,1
Lasioglossum pilosum,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes trinodis,0 to 5,1
Bombus griseocollis,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melitoma taurea,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes tepaneca,0 to 5,1
Melissodes agilis,0 to 5,1
Melitoma taurea,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes agilis,0 to 5,1
Lasioglossum apopkense,0 to 5,1
Melissodes communis,0 to 5,1
Ptilothrix  bombiformis,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes agilis,0 to 5,1
Melitoma taurea,0 to 5,1
Melitoma taurea,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Lasioglossum 4,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes tepaneca,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes bimaculata,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Melissodes bimaculata,11 to 15,1
Ptilothrix  bombiformis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Bombus impatiens,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Bombus griseocollis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Bombus impatiens,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melitoma taurea,11 to 15,1
Bombus griseocollis,11 to 15,1
Lasioglossum coreopsis,11 to 15,1
Lasioglossum 5,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Melissodes agilis,11 to 15,1
